analysis_sample_rate,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_mbtags,artist_mbtags_count,artist_name,artist_playmeid,artist_terms,artist_terms_freq,artist_terms_weight,audio_md5,bars_confidence,bars_start,beats_confidence,beats_start,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,release,release_7digitalid,sections_confidence,sections_start,segments_confidence,segments_loudness_max,segments_loudness_max_time,segments_loudness_start,segments_pitches,segments_start,segments_timbre,similar_artists,song_hotttnesss,song_id,start_of_fade_out,tatums_confidence,tatums_start,tempo,time_signature,time_signature_confidence,title,track_7digitalid,track_id,year
22050,60488,0.3600311664643514,0.29626895431146333,b'ARGSJW91187B9B1D6B',35.21962,b'North Carolina',-80.01955,b'eb722df4-372e-4742-8586-f7ff658012d6',"(0,)","(0,)",b'JennyAnyKind',-1,"(51,)","(51,)","(51,)",b'028c11fd932f96f85cd550ae50a1b188',"(520,)","(520,)","(520,)","(520,)",0.0,218.77506,2.125,0.0,5,0.354,-10.021,0,0.485,b'I Need You',539081,"(10,)","(10,)","(699,)","(699,)","(699,)","(699,)","(699, 12)","(699,)","(699, 12)","(100,)",0.0,b'SOQHXMF12AB0182363',207.012,"(1039,)","(1039,)",146.765,1,0.0,b'Young Boy Blues',5967937,b'TRAAAVO128F93133D4',0
22050,4923,0.5451592956008632,0.35155586118563925,b'ARC43071187B990240',,"b'Wisner, LA'",,b'001a1d90-56dc-4992-bd7d-970ecd7105d0',"(0,)","(0,)",b'Wayne Watson',17334,"(21,)","(21,)","(21,)",b'f853c665c52f2ea69211840de3ba07e1',"(117,)","(117,)","(473,)","(473,)",0.0,245.21098,0.357,0.0,7,0.07,-7.545,1,0.686,b'The Way Home',163874,"(5,)","(5,)","(793,)","(793,)","(793,)","(793,)","(793, 12)","(793,)","(793, 12)","(100,)",0.26586104921065007,b'SOKEJEJ12A8C13E0D0',227.48,"(946,)","(946,)",117.975,4,0.835,b'The Urgency (LP Version)',1735859,b'TRAABCL128F4286650',0
22050,88523,0.5775089743252977,0.3794821702804675,b'ARL7K851187B99ACD2',,b'',,b'572d6bb7-58cc-4a96-8e5c-58eae4739190',"(0,)","(0,)",b'Andy Andy',14303,"(9,)","(9,)","(9,)",b'8f298a84c01d4892d820ff54104b7df8',"(120,)","(120,)","(485,)","(485,)",0.0,226.35057,0.0,0.0,9,0.205,-6.632,1,0.305,b'Placer & Castigo',575792,"(12,)","(12,)","(971,)","(971,)","(971,)","(971,)","(971, 12)","(971,)","(971, 12)","(100,)",0.0,b'SOMUYGI12AB0188633',221.553,"(971,)","(971,)",130.04,4,0.0,b'La Culpa',6381162,b'TRAABDL12903CAABBA',0
22050,327171,0.08551204710857879,0.25193652476242323,b'ARHHO3O1187B989413',,b'',,b'e870caaf-3650-4ed8-9ca1-1ac36419abb0',"(0,)","(0,)",b'Bob Azzam',-1,"(39,)","(39,)","(39,)",b'1d67443d1dcad563e814414dd684b48e',"(434,)","(434,)","(434,)","(434,)",0.0,191.84281,0.38,0.0,10,0.0,-7.75,0,0.198,b'Arrivederci',815863,"(7,)","(7,)","(720,)","(720,)","(720,)","(720,)","(720, 12)","(720,)","(720, 12)","(100,)",0.0,b'SORAMLE12AB017C8B0',188.424,"(869,)","(869,)",137.334,1,0.319,b'Auguri Cha Cha',9014963,b'TRAABJL12903CDCF1A',0
22050,237,0.7766758556845541,0.5530719914619753,b'ARIK43K1187B9AE54C',,"b'Beverly Hills, CA'",,b'3cb25fb2-5547-4b05-adec-1a5e37830d46',"(1,)","(1,)",b'Lionel Richie',-1,"(18,)","(18,)","(18,)",b'e21ebf6e182f2164b43c4f68e27e6f6a',"(212,)","(212,)","(637,)","(637,)",0.0,307.3824,0.612,0.0,3,0.524,-8.346,1,0.533,b'Dancing On The Ceiling',25811,"(13,)","(13,)","(1063,)","(1063,)","(1063,)","(1063,)","(1063, 12)","(1063,)","(1063, 12)","(100,)",,b'SOBONFF12A6D4F84D8',296.658,"(1275,)","(1275,)",125.197,3,0.211,b'Tonight Will Be Alright',276438,b'TRAABJV128F1460C49',1986
22050,3950,0.6364236449500698,0.4479354804795022,b'ARD842G1187B997376',43.64856,"b'Toronto, Ontario, Canada'",-79.38533,b'6b52e1be-f27a-433c-b51a-3f2d63abc2ba',"(4,)","(4,)",b'Blue Rodeo',-1,"(48,)","(48,)","(48,)",b'b2561c848c67cc8446b1433c6939addd',"(246,)","(246,)","(990,)","(990,)",0.0,491.12771,0.0,0.0,7,1.0,-8.576,1,0.829,b'Outskirts',135122,"(17,)","(17,)","(1628,)","(1628,)","(1628,)","(1628,)","(1628, 12)","(1628,)","(1628, 12)","(100,)",0.4051157216913865,b'SOHUOAP12A8AE488E9',486.034,"(1981,)","(1981,)",119.826,4,0.756,b'Floating',1399936,b'TRAABLR128F423B7E3',1987
22050,24687,0.4199431484349393,0.33080635685585685,b'ARIG6O41187B988BDD',37.16793,b'United States',-95.84502,b'9f6413ef-4320-4833-87be-3ad1d3bf238f',"(0,)","(0,)",b'Richard Souther',18135,"(36,)","(36,)","(36,)",b'0b9438d5b97d76022744eece3862605e',"(95,)","(95,)","(478,)","(478,)",0.0,228.5971,0.223,0.0,8,0.041,-16.11,1,0.516,b'Cross Currents',149958,"(12,)","(12,)","(946,)","(946,)","(946,)","(946,)","(946, 12)","(946,)","(946, 12)","(100,)",0.3347065490692206,b'SOUQQEA12A8C134B1B',217.426,"(1434,)","(1434,)",127.756,5,0.579,b'High Tide',1560940,b'TRAABNV128F425CEE1',0
22050,248913,0.3632805711099885,0.30667609347902947,b'AR1ZHYZ1187FB3C717',,b'',,b'762e2728-f093-4548-8f36-f4580d83e207',"(0,)","(0,)",b'Faiz Ali Faiz',-1,"(20,)","(20,)","(20,)",b'f24a29ab18aaa7c0dcd3527af0aff68f',"(245,)","(245,)","(982,)","(982,)",0.0,599.24853,1.193,0.0,6,0.06,-8.032,1,0.346,b'Panjtan Ka Ghulam',535188,"(33,)","(33,)","(3347,)","(3347,)","(3347,)","(3347,)","(3347, 12)","(3347,)","(3347, 12)","(100,)",,b'SOILPQQ12AB017E82A',591.999,"(3928,)","(3928,)",99.273,4,0.158,b'Sohna Nee Sohna Data',5916675,b'TRAABRB128F9306DD5',0
22050,1396,0.7071997638379363,0.5134632897021558,b'ARYKCQI1187FB3B18F',,b'',,b'eeacb319-8d4c-48e0-80a0-944e71c375bf',"(0,)","(0,)",b'Tesla',7536,"(48,)","(48,)","(48,)",b'3e57f1f9670a3aa3bd8901e6eee32149',"(177,)","(177,)","(714,)","(714,)",0.0,290.29832,0.145,0.0,7,0.725,-5.271,1,0.756,b'Gold',372309,"(14,)","(14,)","(832,)","(832,)","(832,)","(832,)","(832, 12)","(832,)","(832, 12)","(100,)",0.6841361912294903,b'SOXLBJT12A8C140925',285.605,"(1428,)","(1428,)",150.062,4,0.931,b'Caught In A Dream',4143071,b'TRAABVM128F92CA9DC',2004
22050,399889,0.32031437017067216,0.0,b'ARNPAGP1241B9C7FD4',,b'',,b'',"(0,)","(0,)",b'lextrical',-1,"(4,)","(4,)","(4,)",b'3bb031ff1cff6593efa7c768cfa90d22',"(92,)","(92,)","(370,)","(370,)",0.0,165.69424,0.162,0.0,7,0.011,-6.787,1,0.568,b'Whatever Happened To Boredom?',541101,"(8,)","(8,)","(600,)","(600,)","(600,)","(600,)","(600, 12)","(600,)","(600, 12)","(100,)",0.0,b'SOZVMJI12AB01808AF',157.391,"(739,)","(739,)",138.331,4,0.127,b'Synthetic Dream',5991843,b'TRAABXG128F9318EBD',0
22050,34818,0.39413853984589253,0.29153972708877773,b'ARQGYP71187FB44566',34.31109,"b'Mineola, AR'",-94.02978,b'0b8f67b3-b1d8-4d7a-8317-9d2e7e1cb277',"(0,)","(0,)",b'Jimmy Wakely',156926,"(19,)","(19,)","(19,)",b'3ed412aed58a32b2b8354d02a48c88c3',"(68,)","(68,)","(211,)","(211,)",0.0,151.84934,2.827,0.0,1,0.799,-15.221,1,0.716,b'1942-1952 Jimmy Wakely',605134,"(8,)","(8,)","(427,)","(427,)","(427,)","(427,)","(427, 12)","(427,)","(427, 12)","(100,)",,b'SOWTBJW12AC468AC6E',146.199,"(421,)","(421,)",86.186,3,0.929,b'Broken-Down Merry-Go-Round',6721979,b'TRAABYN12903CFD305',0
22050,185559,0.4898162689820407,0.3285530150180186,b'ARI3BMM1187FB4255E',38.8991,b'Washington',-77.029,b'c5bca5a8-1357-4f4c-8544-b36c814ff6d6',"(0,)","(0,)",b'Alice Stuart',-1,"(23,)","(23,)","(23,)",b'8125cbddb7b46628dbd8af0dcfdd5611',"(393,)","(393,)","(393,)","(393,)",0.0,220.78649,0.206,0.0,11,0.809,-8.514,1,0.521,b'All The Good Times',239740,"(13,)","(13,)","(828,)","(828,)","(828,)","(828,)","(828, 12)","(828,)","(828, 12)","(100,)",0.0,b'SOBEBDG12A58A76D60',207.656,"(787,)","(787,)",110.382,1,0.192,b'Kassie Jones',3006504,b'TRAABYW128F4244559',0
22050,69720,0.6774204652262298,0.37825468551016656,b'AR5KOSW1187FB35FF4',49.80388,b'Dubai UAE',15.47491,b'd3cc4c24-1b5b-4d71-bcc9-1940e0e3e9d3',"(0,)","(0,)",b'Elena',34776,"(40,)","(40,)","(40,)",b'47d2c68a4eaf1c7ed8a1fffc9f9c186e',"(120,)","(120,)","(497,)","(497,)",0.0,269.58322,0.0,0.0,2,0.596,-8.05,1,0.666,b'Un cafe_ setanta matins',386995,"(13,)","(13,)","(605,)","(605,)","(605,)","(605,)","(605, 12)","(605,)","(605, 12)","(100,)",0.3135621142479342,b'SOZCTXZ12AB0182364',256.168,"(993,)","(993,)",111.874,4,1.0,b'Setanta matins',4292004,b'TRAACCG128F92E8A55',0
22050,82239,0.839962768151037,0.5418889720336469,b'ARMAC4T1187FB3FA4C',40.82624,"b'Morris Plains, NJ'",-74.47995,b'1bc41dff-5397-4c53-bb50-469d2c277197',"(2,)","(2,)",b'The Dillinger Escape Plan',11414,"(32,)","(32,)","(32,)",b'8c987e191b479de914ece0ece1f8fb9e',"(142,)","(142,)","(572,)","(572,)",0.0,207.77751,0.061,0.0,7,0.381,-4.264,1,0.453,b'Miss Machine',223365,"(11,)","(11,)","(719,)","(719,)","(719,)","(719,)","(719, 12)","(719,)","(719, 12)","(100,)",0.6665278462297023,b'SOBBUGU12A8C13E95D',204.696,"(1144,)","(1144,)",166.862,4,0.0,b'Setting Fire to Sleeping Giants',2439720,b'TRAACER128F4290F96',2004
22050,36525,0.43541581815506936,0.3062422642462862,b'AR47JEX1187B995D81',37.83721,"b'Nevada, MO'",-94.35868,b'7994b392-4b14-4b06-b591-fd8b0ad65338',"(0,)","(0,)",b'SUE THOMPSON',-1,"(34,)","(34,)","(34,)",b'aa483bfe099a6beffc240c997339d9e7',"(70,)","(70,)","(285,)","(285,)",0.0,124.86485,0.0,0.0,10,0.697,-12.332,1,0.541,b'Sue Thompson - Her Very Best',652784,"(7,)","(7,)","(535,)","(535,)","(535,)","(535,)","(535, 12)","(535,)","(535, 12)","(100,)",0.4952936212921635,b'SOBLGCN12AB0183212',115.74,"(570,)","(570,)",137.522,4,0.0,b'James (Hold The Ladder Steady)',7232396,b'TRAACFV128F935E50B',1985
22050,14773,0.6090637000310501,0.3636513650591166,b'ARGIWFO1187B9B55B7',,b'',,b'34f4bdc2-ed51-44da-af51-7e507d9d4721',"(0,)","(0,)",b'Five Bolt Main',-1,"(17,)","(17,)","(17,)",b'34cf2dce6d6408286cfd65a31dc60194',"(617,)","(617,)","(617,)","(617,)",0.0,225.09669,0.0,0.0,7,0.53,-5.908,1,0.512,b'Live',45730,"(8,)","(8,)","(640,)","(640,)","(640,)","(640,)","(640, 12)","(640,)","(640, 12)","(100,)",0.37598430150044215,b'SOPSWQW12A6D4F8781',225.097,"(1233,)","(1233,)",164.672,1,0.0,b'Made Like This (Live)',488005,b'TRAACHN128F1489601',0
22050,242273,0.5505136978482137,0.42270564102939107,b'ARNTLGG11E2835DDB9',,b'',,b'4d96f7d0-2f0e-4e92-ba70-a405f96f8cec',"(0,)","(0,)",b'Clp',-1,"(21,)","(21,)","(21,)",b'bbf8a75f1dbb47d62a9938b2c686a7c3',"(175,)","(175,)","(704,)","(704,)",0.0,338.31138,0.0,0.0,6,0.687,-6.486,0,0.486,b'Strictly Confidential',672016,"(11,)","(11,)","(1815,)","(1815,)","(1815,)","(1815,)","(1815, 12)","(1815,)","(1815, 12)","(100,)",,b'SOZQDIU12A58A7BCF6',338.311,"(1409,)","(1409,)",125.006,4,1.0,b'Superconfidential',7448953,b'TRAACIW12903CC0F6D',0
22050,14504,0.4597971288376104,0.3499126116745628,b'ARDNS031187B9924F0',32.67828,b'Georgia',-83.22295,b'e29641cc-3658-4886-89d7-3a146d2d3d75',"(0,)","(0,)",b'Tim Wilson',7570,"(13,)","(13,)","(13,)",b'ebebdcfecb78adaf47a1860e55d5c50d',"(278,)","(278,)","(278,)","(278,)",0.0,186.48771,1.083,0.0,5,0.762,-4.516,1,0.539,b'The Real Twang Thang',160881,"(11,)","(11,)","(662,)","(662,)","(662,)","(662,)","(662, 12)","(662,)","(662, 12)","(100,)",,b'SONYPOM12A8C13B2D7',175.467,"(834,)","(834,)",90.022,1,0.971,b'I Think My Wife Is Running Around On Me (Taco Hell)',1699837,b'TRAACLV128F427E123',2005
22050,15815,0.5888271005018058,0.3796711247498673,b'AROUOZZ1187B9ABE51',40.79195,"b'New York, NY [Spanish Harlem]'",-73.94512,b'dadec058-023e-498a-b1c7-776d03cc88ce',"(0,)","(0,)",b'Willie Bobo',-1,"(48,)","(48,)","(48,)",b'784d7f50a1179d0fad2e771d125fc749',"(88,)","(88,)","(355,)","(355,)",0.0,168.25424,0.2,0.0,8,0.812,-9.616,1,0.736,"b""Willie Bobo's Finest Hour""",59744,"(8,)","(8,)","(552,)","(552,)","(552,)","(552,)","(552, 12)","(552,)","(552, 12)","(100,)",,b'SOBZBAZ12A6D4F8742',161.89,"(709,)","(709,)",127.025,4,0.792,b'Spanish Grease',618725,b'TRAACNS128F14A2DF5',1997
22050,28882,0.3964552539172961,0.2992303679293693,b'ARH4Z031187B9A71F2',40.73197,"b'Newark, NJ'",-74.17418,b'8f2974e0-3647-48f6-86f8-603a2c5f31ae',"(0,)","(0,)",b'Faye Adams',70806,"(25,)","(25,)","(25,)",b'07b11c250326d20b7c5c2538f56066b5',"(79,)","(79,)","(244,)","(244,)",0.0,156.39465,0.562,0.0,8,0.569,-18.051,1,0.495,b'Shake A Hand',373723,"(9,)","(9,)","(434,)","(434,)","(434,)","(434,)","(434, 12)","(434,)","(434, 12)","(100,)",0.0,b'SOVYKGO12AB0187199',150.634,"(487,)","(487,)",95.957,3,0.689,b'Crazy Mixed Up World',5660441,b'TRAACOW128F933E35F',1961
22050,9947,0.7068276713044582,0.4161730646266773,b'ARB29H41187B98F0EF',41.88415,b'Chicago',-87.63241,b'44fd61e1-119c-479e-8301-8ac5c77148bf',"(1,)","(1,)",b'Terry Callier',43725,"(49,)","(49,)","(49,)",b'1bcc5424889fa52e636b6ff801100c24',"(203,)","(203,)","(625,)","(625,)",0.0,342.56934,0.063,0.0,6,0.381,-11.939,1,0.538,b'Occasional Rain',228326,"(16,)","(16,)","(897,)","(897,)","(897,)","(897,)","(897, 12)","(897,)","(897, 12)","(100,)",0.4137398358601097,b'SOGNCJP12A58A80271',333.154,"(1250,)","(1250,)",110.189,3,0.353,b'Do You Finally Need A Friend',2503960,b'TRAACPE128F421C1B9',1972
22050,343187,0.5605579839038146,0.45278947675222264,b'AR1Y2PT1187FB5B9CE',27.94017,b'Brandon',-82.32547,b'84f3a2c3-95b4-4d4f-82d9-0e4baf4886ab',"(0,)","(0,)",b'John Wesley',-1,"(49,)","(49,)","(49,)",b'cb3a96380f2084aa94f38ca0d473d847',"(276,)","(276,)","(1106,)","(1106,)",0.0,484.62322,28.172,0.0,4,0.283,-15.335,0,0.363,b'The Emperor Falls',463514,"(18,)","(18,)","(1565,)","(1565,)","(1565,)","(1565,)","(1565, 12)","(1565,)","(1565, 12)","(100,)",0.3775316449767025,b'SOLLHMX12AB01846DC',480.363,"(2212,)","(2212,)",138.007,4,0.893,b'The Emperor Falls',5158927,b'TRAACQT128F9331780',0
22050,14045,0.6408071019636729,0.4182165181949368,b'ARAJPHH1187FB5566A',40.7038,"b'Queens, NY'",-73.83168,b'91d01e5f-252d-469d-a16a-12c613e48e5d',"(0,)","(0,)",b'The Shangri-Las',2995,"(50,)","(50,)","(50,)",b'519e4222be254d9848224a99cee7511a',"(342,)","(342,)","(342,)","(342,)",0.0,164.80608,0.0,0.0,10,0.254,-10.922,1,0.042,b'Best of The Shangri-Las',643400,"(5,)","(5,)","(594,)","(594,)","(594,)","(594,)","(594, 12)","(594,)","(594, 12)","(100,)",0.4432913119053975,b'SOYTPEP12AB0180E7B',156.177,"(683,)","(683,)",130.1,1,0.0,b'Twist and Shout',7133415,b'TRAACSL128F93462F4',1964
22050,16838,0.5237146369702328,0.3846110839616365,b'AR0RCMP1187FB3F427',30.08615,"b'Beaumont, TX'",-94.10158,b'615d51ca-3d06-43dc-b956-4d76099f4b5e',"(0,)","(0,)",b'Billie Jo Spears',56462,"(32,)","(32,)","(32,)",b'8b99765c6ea21c447b787845282bd16b',"(352,)","(352,)","(352,)","(352,)",0.0,133.32853,0.0,0.0,4,0.384,-9.983,1,0.402,b'20 Of Her Best',663761,"(6,)","(6,)","(492,)","(492,)","(492,)","(492,)","(492, 12)","(492,)","(492, 12)","(100,)",0.0,b'SOGXHEG12AB018653E',130.009,"(704,)","(704,)",160.839,1,0.0,b'It Makes No Difference Now',7357260,b'TRAACTB12903CAAF15',1992
22050,9222,0.7936050803712417,0.42631795640769016,b'AREBBGV1187FB523D2',,"b'Houston, TX'",,b'7685015d-bd3b-4888-9020-3288c421cc9f',"(0,)","(0,)","b""Mike Jones (Featuring CJ_ Mello & Lil' Bran)""",2567,"(19,)","(19,)","(19,)",b'bff34ce1d6c7b9f71ee7b5737e9ec741',"(119,)","(119,)","(119,)","(119,)",0.0,173.66159,0.0,0.0,7,0.299,-7.762,1,0.464,b'Who Is Mike Jones?',12882,"(5,)","(5,)","(780,)","(780,)","(780,)","(780,)","(780, 12)","(780,)","(780, 12)","(100,)",,b'SOOLYAZ12A6701F4A6',164.908,"(952,)","(952,)",41.993,1,0.0,b'Laws Patrolling (Album Version)',133966,b'TRAACVS128E078BE39',0
22050,107468,0.5015447771039371,0.39273367554668775,b'ARGUVEV1187B98BA17',,b'',,b'017f5df4-c30c-4799-95f7-997bd5b88df7',"(0,)","(0,)",b'Sierra Maestra',185183,"(32,)","(32,)","(32,)",b'26b62d8f58664a9fce20a58c9c296fc9',"(332,)","(332,)","(1000,)","(1000,)",0.0,313.12934,0.0,0.0,9,0.724,-9.512,1,0.364,b'Tibiri Tabara',270281,"(13,)","(13,)","(1469,)","(1469,)","(1469,)","(1469,)","(1469, 12)","(1469,)","(1469, 12)","(100,)",,b'SOGOSOV12AF72A285E',307.688,"(2000,)","(2000,)",189.646,3,0.674,b'\xc2\xbfD\xc3\xb3nde va Chichi?',3003122,b'TRAACZK128F4243829',1997
22050,16860,0.8093237930019529,0.48801984168567314,b'ARPQ4Z01187FB3A736',29.42449,"b'San Antonio, TX'",-98.49462,b'2339bc21-aa92-4850-86f0-4bb9433910c8',"(4,)","(4,)",b'Butthole Surfers',110955,"(26,)","(26,)","(26,)",b'206108fa28f21272fb5502be54119f78',"(242,)","(242,)","(970,)","(970,)",0.0,450.84689,0.467,0.0,4,0.726,-9.063,0,0.367,b'Piouhgd + Widowermaker!',244586,"(20,)","(20,)","(1618,)","(1618,)","(1618,)","(1618,)","(1618, 12)","(1618,)","(1618, 12)","(100,)",0.593943075901947,b'SOJXVAH12A8C139700',426.104,"(2911,)","(2911,)",130.586,4,0.42,"b'Barking Dogs (From ""Piouhgd"")'",2788206,b'TRAADDS128F425C68B',0
